2025-10-31 15:12:42 | INFO | data_handler | Saved 23551 bars to forex_data\XAUUSD_15m.parquet
2025-10-31 15:12:42 | INFO | data_handler | MT5 connection closed
2025-10-31 15:12:42 | INFO | __main__ | Data download complete
2025-10-31 15:13:58 | INFO | utils | Trade logger initialized. Log file: logs\trading_20251031.log
2025-10-31 15:13:58 | INFO | __main__ | All components initialized successfully
2025-10-31 15:13:58 | INFO | __main__ | ============================================================
2025-10-31 15:13:58 | INFO | __main__ | TRAINING MODEL FOR XAUUSD
2025-10-31 15:13:58 | INFO | __main__ | ============================================================
2025-10-31 15:13:58 | INFO | data_handler | Loaded 23551 bars from forex_data\XAUUSD_15m.parquet
2025-10-31 15:13:58 | INFO | __main__ | Loaded 23551 bars
2025-10-31 15:13:58 | INFO | __main__ | Computing features...
2025-10-31 15:13:58 | INFO | feature_engineering | Computing features...
2025-10-31 15:14:05 | INFO | feature_engineering | Features computed: 39 features
2025-10-31 15:14:05 | INFO | __main__ | Generating labels...
2025-10-31 15:14:05 | INFO | label_generator | Generating classification labels for 23551 bars
2025-10-31 15:14:51 | INFO | utils | Trade logger initialized. Log file: logs\trading_20251031.log
2025-10-31 15:14:51 | INFO | __main__ | All components initialized successfully
2025-10-31 15:14:51 | INFO | __main__ | ============================================================
2025-10-31 15:14:51 | INFO | __main__ | TRAINING MODEL FOR XAUUSD
2025-10-31 15:14:51 | INFO | __main__ | ============================================================
2025-10-31 15:14:51 | INFO | data_handler | Loaded 23551 bars from forex_data\XAUUSD_15m.parquet
2025-10-31 15:14:51 | INFO | __main__ | Loaded 23551 bars
2025-10-31 15:14:51 | INFO | __main__ | Computing features...
2025-10-31 15:14:51 | INFO | feature_engineering | Computing features...
2025-10-31 15:14:57 | INFO | feature_engineering | Features computed: 39 features
2025-10-31 15:14:57 | INFO | __main__ | Generating labels...
2025-10-31 15:14:57 | INFO | label_generator | Generating classification labels for 23551 bars
